CODIGO;SIGLA;NOME;SEMESTRE;N_HORAS_SEMANAIS;OPTATIVA
L.EIC011;AED;Algoritmos e Estruturas de Dados;1S;3;0
L.EIC002;AM I;Análise Matemática I;1S;3;0
L.EIC006;AC;Arquitetura de Computadores;1S;3;0
L.EIC012;BD;Bases de Dados;1S;3;0
L.EIC003;FP;Fundamentos da Programação;1S;3;0
L.EIC021;FSI;Fundamentos de Segurança Informática;1S;3;0
L.EIC004;FSC;Fundamentos de Sistemas Computacionais;1S;3;0
L.EIC013;F II;Física II;1S;3;0
L.EIC022;IPC;Interação Pessoa Computador;1S;3;0
L.EIC023;LBAW;Laboratório de Bases de Dados e Aplicações Web;1S;3;0
L.EIC014;LDTS;Laboratório de Desenho e Teste de Software;1S;3;0
L.EIC019;LTW;Linguagens e Tecnologias Web;1S;3;0
L.EIC005;MD;Matemática Discreta;1S;3;0
L.EIC009;P;Programação;1S;3;0
L.EIC024;PFL;Programação Funcional e em Lógica;1S;3;0
L.EIC025;RC;Redes de Computadores;1S;3;0
L.EIC010;TC;Teoria da Computação;1S;3;0
L.EIC001;ALGA;Álgebra Linear e Geometria Analítica;1S;3;0
M.EIC030;API;Análise de Projetos de Investimento;1S;3;1
M.EIC031;AID;Análise e Integração de Dados;1S;3;1
M.EIC001;AC;Aprendizagem Computacional;1S;3;0
M.EIC011;CAC;Complementos de Aprendizagem Computacional;1S;3;1
M.EIC033;CHE;Computação Heterogénea Eficiente;1S;3;1
M.EIC002;DS;Desenvolvimento de Software de Larga Escala;1S;3;0
M.EIC035;ELS;Engenharia de Linguagens de Software;1S;3;1
M.EIC036;ESS;Engenharia de Software Seguro;1S;3;1
L.EIC021;FSI;Fundamentos de Segurança Informática;1S;3;0
M.EIC018;GSAI;Gestão de Segurança da Informação;1S;3;1
L.EIC022;IPC;Interação Pessoa Computador;1S;3;0
M.EIC038;MS;Modelação e Simulação;1S;3;1
M.EIC039;MNEC;Modelos de Negócio para a Economia Digital;1S;3;1
M.EIC007;PD;Preparação da Dissertação;1S;3;0
M.EIC003;PRI;Processamento e Recuperação de Informação;1S;3;0
M.EIC040;RVA;Realidade Virtual e Aumentada;1S;3;1
M.EIC041;RI;Robótica Inteligente;1S;3;1
M.EIC042;S;Seminários;1S;3;1
M.EIC043;SCI;Sistemas Ciberfísicos e Internet das Coisas;1S;3;1
M.EIC004;SDLE;Sistemas Distribuídos de Larga Escala;1S;3;0
M.EIC005;SGI;Sistemas Gráficos Interativos;1S;3;0
M.EIC045;TVVS;Teste Verificação e Validação de Software;1S;3;1
M.EIC044;TACS;Técnicas Avançadas de Construção de Software;1S;3;1
M.EIC046;TAIM;Tópicos Avançados de Interação e Multimédia;1S;3;1
M.EIC047;WSDL;Web Semântica e Dados Ligados;1S;3;1
201403478;201403478;201403478;1S;12;0
201404947;201404947;201404947;1S;12;0
201503035;201503035;201503035;1S;12;0
201606796;201606796;201606796;1S;12;0
201705374;201705374;201705374;1S;12;0
201706254;201706254;201706254;1S;12;0
201709467;201709467;201709467;1S;12;0
201709532;201709532;201709532;1S;12;0
201804904;201804904;201804904;1S;12;0
201804977;201804977;201804977;1S;12;0
201805137;201805137;201805137;1S;12;0
201805189;201805189;201805189;1S;12;0
201805199;201805199;201805199;1S;12;0
201805273;201805273;201805273;1S;12;0
201808614;201808614;201808614;1S;12;0
